Effect										
)										
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
_Iyear_1977	-0.36*	-0.36	0.15	-0.02	0.57	0.53	0.23	0.27	0.06	-0.08
	[0.202]	[0.449]	[0.311]	[0.470]	[0.395]	[0.611]	[0.357]	[0.510]	[0.284]	[0.435]
_Iyear_1978	-0.16	-0.16	0.29	0.11	0.77	0.73	0.37	0.41	0.25	0.12
	[0.386]	[0.510]	[0.409]	[0.503]	[0.546]	[0.658]	[0.473]	[0.552]	[0.423]	[0.500]
_Iyear_1979	0.04	-0.03	0.65	0.47	1.14	1.16	0.65	0.76	0.58	0.45
	[0.513]	[0.623]	[0.606]	[0.699]	[0.820]	[0.933]	[0.690]	[0.773]	[0.618]	[0.692]
_Iyear_1980	-0.03	-0.10	0.40	0.22	0.62	0.64	0.21	0.32	0.36	0.22
	[0.407]	[0.525]	[0.469]	[0.566]	[0.557]	[0.713]	[0.478]	[0.596]	[0.475]	[0.552]
_Iyear_1981	-0.13	-0.19	0.39	0.22	0.74	0.76	0.31	0.42	0.36	0.23
	[0.396]	[0.559]	[0.470]	[0.598]	[0.620]	[0.788]	[0.530]	[0.657]	[0.479]	[0.591]
_Iyear_1982	-0.02	-0.09	0.20	0.03	0.25	0.27	-0.07	0.04	0.03	-0.11
	[0.334]	[0.505]	[0.327]	[0.430]	[0.374]	[0.594]	[0.335]	[0.499]	[0.315]	[0.451]
_Iyear_1983	-0.22	-0.29	0.05	-0.12	0.04	0.06	-0.26	-0.15	-0.12	-0.25
	[0.327]	[0.516]	[0.332]	[0.466]	[0.374]	[0.612]	[0.330]	[0.512]	[0.306]	[0.458]
_Iyear_1984	-0.35	-0.41	-0.04	-0.22	-0.12	-0.10	-0.37*	-0.26	-0.18	-0.31
	[0.224]	[0.470]	[0.243]	[0.427]	[0.225]	[0.559]	[0.217]	[0.471]	[0.235]	[0.422]
_Iyear_1985	-0.14	-0.21	0.15	-0.02	0.12	0.14	-0.17	-0.06	-0.02	-0.16
	[0.346]	[0.346]	[0.337]	[0.323]	[0.400]	[0.394]	[0.347]	[0.345]	[0.319]	[0.311]
_Iyear_1986	-0.10	-0.17	0.14	-0.03	0.13	0.15	-0.16	-0.05	0.00	-0.13
	[0.354]	[0.417]	[0.329]	[0.383]	[0.380]	[0.483]	[0.331]	[0.413]	[0.331]	[0.374]
_Iyear_1987	0.17	0.10	0.25	0.08	0.54	0.56	0.17	0.28	0.17	0.03
	[0.545]	[0.488]	[0.466]	[0.444]	[0.657]	[0.558]	[0.553]	[0.478]	[0.487]	[0.435]
_Iyear_1988	0.04	-0.02	0.19	0.01	0.38	0.40	0.09	0.20	0.10	-0.03
	[0.426]	[0.401]	[0.369]	[0.373]	[0.511]	[0.478]	[0.428]	[0.402]	[0.379]	[0.360]
_Iyear_1989	0.56	0.50	0.42	0.24	0.71	0.73*	0.54	0.65*	0.53	0.40
	[0.707]	[0.357]	[0.599]	[0.322]	[0.845]	[0.396]	[0.706]	[0.341]	[0.624]	[0.324]
_Iyear_1990	0.14	0.07	0.13	-0.04	-0.01	0.01	0.10	0.21	0.24	0.10
	[0.468]	[0.278]	[0.403]	[0.164]	[0.459]	[0.205]	[0.460]	[0.280]	[0.420]	[0.254]
_Iyear_1991	0.21	0.15	0.37	0.20	0.11	0.13	0.09	0.20	0.26	0.12
	[0.646]	[0.245]	[0.642]	[0.265]	[0.765]	[0.267]	[0.639]	[0.241]	[0.575]	[0.223]
o._Iyear_1992		-		-		-		-		-
										
_Iyear_1993	-0.12	-0.05	0.00	0.00	-0.21	-0.26	-0.20	-0.25	-0.05	-0.05
	[0.400]	[0.383]	[0.388]	[0.391]	[0.455]	[0.464]	[0.391]	[0.399]	[0.350]	[0.348]
_Iyear_1994	-0.18	-0.12	0.09	0.09	-0.17	-0.22	-0.32	-0.38	-0.12	-0.12
	[0.305]	[0.300]	[0.346]	[0.356]	[0.356]	[0.365]	[0.298]	[0.308]	[0.271]	[0.277]
_Iyear_1995	-0.37	-0.31	-0.15	-0.15	-0.56*	-0.61**	-0.57**	-0.62**	-0.33	-0.33
	[0.271]	[0.282]	[0.362]	[0.371]	[0.292]	[0.297]	[0.241]	[0.249]	[0.260]	[0.266]
_Iyear_1996	-0.30	-0.24	0.00	0.00	-0.24	-0.29	-0.41	-0.46	-0.27	-0.27
	[0.307]	[0.305]	[0.367]	[0.378]	[0.360]	[0.371]	[0.302]	[0.316]	[0.274]	[0.279]
_Iyear_1997	-0.07	-0.00	-0.05	-0.05	-0.06	-0.10	-0.12	-0.18	-0.06	-0.06
	[0.318]	[0.308]	[0.294]	[0.286]	[0.381]	[0.393]	[0.310]	[0.324]	[0.273]	[0.276]
_Iyear_1998	0.04	0.11	0.32	0.32	0.18	0.13	-0.02	-0.07	0.01	0.01
	[0.456]	[0.445]	[0.502]	[0.510]	[0.552]	[0.573]	[0.451]	[0.472]	[0.400]	[0.404]
_Iyear_1999	0.15	0.22	0.36	0.36	-0.52	-0.57	0.10	0.05	0.06	0.06
	[0.876]	[0.878]	[0.775]	[0.779]	[0.461]	[0.475]	[0.872]	[0.878]	[0.773]	[0.774]
_Iyear_2000	1.57	1.64	1.37	1.37	0.88	0.83	1.57	1.51	1.33	1.33
	[1.672]	[1.677]	[1.433]	[1.434]	[1.562]	[1.566]	[1.667]	[1.670]	[1.482]	[1.484]
_Iyear_2001	0.25	0.32	0.32	0.32	-0.79**	-0.84**	0.20	0.15	0.13	0.13
	[1.127]	[1.130]	[0.968]	[0.971]	[0.354]	[0.380]	[1.122]	[1.129]	[0.996]	[0.998]
_Iyear_2002	0.37	0.44	0.00	0.00	-0.14	-0.19	0.35	0.29	0.23	0.23
	[0.661]	[0.664]	[0.547]	[0.550]	[0.682]	[0.696]	[0.654]	[0.666]	[0.585]	[0.591]
_Iyear_2003	0.22	0.22	-0.42	-0.42	-0.24	-0.24	0.07	0.07	0.02	0.02
	[0.680]	[0.680]	[0.535]	[0.535]	[0.767]	[0.767]	[0.693]	[0.693]	[0.611]	[0.611]
_Iyear_2004	1.09	1.09	0.37	0.37	0.69	0.69	0.92	0.92	0.81	0.81
	[1.119]	[1.119]	[0.953]	[0.953]	[1.365]	[1.365]	[1.132]	[1.133]	[1.002]	[1.002]
_Iyear_2005	0.07	0.07	-0.22	-0.22	-0.56	-0.56	-0.00	-0.00	-0.09	-0.09
	[0.564]	[0.564]	[0.430]	[0.430]	[0.484]	[0.484]	[0.569]	[0.569]	[0.507]	[0.507]
_Iyear_2006	-0.57	-0.57	-0.33	-0.33	-0.54	-0.54	-0.69	-0.69	-0.55	-0.55
	[0.436]	[0.436]	[0.434]	[0.434]	[0.506]	[0.506]	[0.442]	[0.442]	[0.390]	[0.390]
_Iyear_2007	-0.35	-0.35	-0.68	-0.68	-1.13***	-1.13***	-0.52	-0.52	-0.46	-0.46
	[0.560]	[0.560]	[0.429]	[0.429]	[0.350]	[0.350]	[0.570]	[0.570]	[0.500]	[0.500]
_Iyear_2008	0.07	0.07	-0.25	-0.25	-0.38	-0.38	-0.05	-0.05	-0.05	-0.05
	[0.387]	[0.387]	[0.309]	[0.309]	[0.420]	[0.420]	[0.396]	[0.397]	[0.349]	[0.349]
_Iyear_2009	-0.65**	-0.65**	-0.52**	-0.52**	-0.63*	-0.63*	-0.63**	-0.63**	-0.54**	-0.54**
	[0.271]	[0.271]	[0.248]	[0.248]	[0.330]	[0.330]	[0.274]	[0.274]	[0.251]	[0.251]
_Iyear_2010	-0.70***	-0.70***	-0.46**	-0.46**	-0.64**	-0.64**	-0.69***	-0.69***	-0.54**	-0.54**
	[0.200]	[0.201]	[0.186]	[0.186]	[0.237]	[0.237]	[0.203]	[0.204]	[0.205]	[0.205]
o._Iyear_2011	-	-	-	-	-	-	-	-	-	-
										
										
_Iyear_1992	0.07		0.17		-0.02		-0.11		0.13	
	[0.481]		[0.444]		[0.577]		[0.471]		[0.427]	
o._IMomXyear_1					-	-				
										
										
Observations	1,568	1,568	1,813	1,813	1,274	1,274	1,568	1,568	1,764	1,764
Adjusted R-squared	0.130	0.140	0.095	0.102	0.095	0.104	0.103	0.114	0.103	0.113
Robust standard errors clustered at the district level in parentheses										
* significant at 10%; ** significant at 5%; *** significant at 1%										
