Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
_Iyear_1968	0.68	0.68	0.68	0.68	0.68	0.68
	[0.568]	[0.568]	[0.568]	[0.568]	[0.568]	[0.568]
_Iyear_1969	0.63	0.63	0.63	0.63	0.63	0.63
	[0.563]	[0.563]	[0.563]	[0.563]	[0.563]	[0.563]
_Iyear_1970	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03
	[0.461]	[0.461]	[0.461]	[0.461]	[0.461]	[0.460]
_Iyear_1971	0.11	0.11	0.11	0.11	0.11	0.11
	[0.552]	[0.552]	[0.552]	[0.551]	[0.552]	[0.551]
_Iyear_1972	0.09	0.09	0.09	0.09	0.09	0.09
	[0.528]	[0.528]	[0.528]	[0.528]	[0.528]	[0.528]
_Iyear_1973	0.07	0.07	0.07	0.07	0.08	0.08
	[0.461]	[0.461]	[0.461]	[0.461]	[0.461]	[0.460]
_Iyear_1974	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02
	[0.492]	[0.492]	[0.492]	[0.492]	[0.492]	[0.492]
_Iyear_1975	-0.27	-0.27	-0.27	-0.27	-0.27	-0.27
	[0.378]	[0.377]	[0.378]	[0.377]	[0.378]	[0.377]
_Iyear_1976	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
	[0.375]	[0.375]	[0.375]	[0.375]	[0.376]	[0.376]
_Iyear_1977	-0.10	-0.10	-0.10	-0.10	-0.10	-0.10
	[0.432]	[0.433]	[0.432]	[0.433]	[0.433]	[0.434]
_Iyear_1978	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
	[0.462]	[0.463]	[0.462]	[0.463]	[0.463]	[0.464]
_Iyear_1979	0.33	0.33	0.33	0.33	0.33	0.33
	[0.638]	[0.639]	[0.639]	[0.639]	[0.639]	[0.639]
_Iyear_1980	0.07	0.07	0.07	0.07	0.07	0.07
	[0.520]	[0.520]	[0.520]	[0.520]	[0.520]	[0.520]
_Iyear_1981	0.07	0.07	0.07	0.07	0.07	0.07
	[0.548]	[0.549]	[0.549]	[0.549]	[0.549]	[0.549]
_Iyear_1982	-0.12	-0.12	-0.12	-0.12	-0.12	-0.12
	[0.401]	[0.401]	[0.401]	[0.401]	[0.401]	[0.401]
_Iyear_1983	-0.23	-0.23	-0.23	-0.23	-0.23	-0.23
	[0.431]	[0.431]	[0.431]	[0.431]	[0.431]	[0.431]
_Iyear_1984	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29
	[0.399]	[0.399]	[0.399]	[0.399]	[0.399]	[0.399]
_Iyear_1985	-0.13	-0.13	-0.13	-0.13	-0.13	-0.13
	[0.308]	[0.308]	[0.308]	[0.308]	[0.308]	[0.308]
_Iyear_1986	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14
	[0.359]	[0.360]	[0.360]	[0.360]	[0.360]	[0.360]
_Iyear_1987	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07
	[0.415]	[0.415]	[0.415]	[0.415]	[0.415]	[0.415]
_Iyear_1988	-0.10	-0.10	-0.10	-0.10	-0.10	-0.10
	[0.345]	[0.345]	[0.345]	[0.345]	[0.345]	[0.345]
_Iyear_1989	0.25	0.25	0.25	0.25	0.25	0.25
	[0.305]	[0.305]	[0.305]	[0.305]	[0.305]	[0.305]
_Iyear_1990	0.13	0.13	0.13	0.13	0.13	0.13
	[0.230]	[0.230]	[0.230]	[0.230]	[0.230]	[0.230]
_Iyear_1991	0.28	0.28	0.28	0.28	0.28	0.28
	[0.252]	[0.252]	[0.252]	[0.252]	[0.252]	[0.252]
o._Iyear_1992	-	-	-	-	-	-
						
_Iyear_1993	0.11	0.11	0.11	0.11	0.11	0.11
	[0.373]	[0.373]	[0.373]	[0.373]	[0.373]	[0.372]
_Iyear_1994	0.06	0.06	0.06	0.06	0.06	0.06
	[0.335]	[0.334]	[0.335]	[0.335]	[0.334]	[0.333]
_Iyear_1995	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07
	[0.347]	[0.347]	[0.348]	[0.347]	[0.347]	[0.346]
_Iyear_1996	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05
	[0.357]	[0.356]	[0.357]	[0.357]	[0.357]	[0.356]
_Iyear_1997	-0.08	-0.08	-0.08	-0.08	-0.08	-0.07
	[0.259]	[0.259]	[0.260]	[0.259]	[0.260]	[0.260]
_Iyear_1998	0.24	0.24	0.24	0.24	0.24	0.24
	[0.471]	[0.471]	[0.472]	[0.471]	[0.471]	[0.470]
_Iyear_1999	0.20	0.20	0.20	0.20	0.20	0.20
	[0.718]	[0.718]	[0.718]	[0.718]	[0.718]	[0.718]
_Iyear_2000	1.11	1.11	1.11	1.11	1.11	1.11
	[1.300]	[1.300]	[1.300]	[1.300]	[1.301]	[1.301]
_Iyear_2001	0.18	0.18	0.18	0.18	0.18	0.18
	[0.890]	[0.890]	[0.890]	[0.890]	[0.890]	[0.890]
_Iyear_2002	0.16	0.16	0.16	0.16	0.16	0.16
	[0.522]	[0.522]	[0.522]	[0.522]	[0.522]	[0.522]
_Iyear_2003	-0.13	-0.13	-0.13	-0.13	-0.13	-0.13
	[0.541]	[0.541]	[0.541]	[0.541]	[0.541]	[0.541]
_Iyear_2004	0.58	0.58	0.58	0.58	0.58	0.58
	[0.884]	[0.884]	[0.884]	[0.884]	[0.884]	[0.884]
_Iyear_2005	0.13	0.13	0.13	0.13	0.13	0.13
	[0.497]	[0.497]	[0.497]	[0.497]	[0.497]	[0.497]
_Iyear_2006	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41
	[0.415]	[0.415]	[0.415]	[0.415]	[0.415]	[0.415]
_Iyear_2007	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
	[0.536]	[0.537]	[0.537]	[0.537]	[0.537]	[0.537]
_Iyear_2008	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07
	[0.314]	[0.314]	[0.314]	[0.314]	[0.314]	[0.314]
_Iyear_2009	-0.45*	-0.45*	-0.45*	-0.45*	-0.45*	-0.45*
	[0.232]	[0.232]	[0.232]	[0.232]	[0.232]	[0.232]
_Iyear_2010	-0.42**	-0.42**	-0.42**	-0.42**	-0.42**	-0.42**
	[0.192]	[0.192]	[0.192]	[0.192]	[0.192]	[0.192]
o._Iyear_2011	-	-	-	-	-	-
						
						
luhyaMP			-0.25			
			[0.531]			
luoMP				0.22		
				[0.371]		
margin_victoryMP					-0.26	
					[0.669]	
votes_hh_indexMP						-1.17
						[1.022]
						
Observations	2,009	2,009	2,009	2,009	2,009	2,009
Adjusted R-squared	0.119	0.119	0.119	0.119	0.119	0.120
Robust standard errors clustered at the district level in parentheses						
* significant at 10%; ** significant at 5%; *** significant at 1%						
