Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
_IyeaXpop_1996			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1997			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1998			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1999			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2000			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2001			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2002			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2003			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2004			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2005			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2006			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2007			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2008			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2009			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_2010			-0.00**	-0.00**		
			[0.000]	[0.000]		
_IyeaXpop_2011			-0.00**	-0.00**		
			[0.000]	[0.000]		
o.area			-	-		
						
_IyeaXare_1964			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXare_1965			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1966			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1967			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1968			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1969			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1970			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1971			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1972			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1973			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1974			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1975			0.00**	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1976			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1977			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1978			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1979			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1980			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1981			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1982			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1983			0.00	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1984			0.00	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1985			0.00*	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1986			0.00	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1987			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1988			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_1989			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1990			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1991			0.00	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1992			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1993			0.00**	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1994			0.00**	0.00*		
			[0.000]	[0.000]		
_IyeaXare_1995			0.00*	0.00		
			[0.000]	[0.000]		
_IyeaXare_1996			0.00*	0.00		
			[0.000]	[0.000]		
_IyeaXare_1997			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_1998			0.00*	0.00		
			[0.000]	[0.000]		
_IyeaXare_1999			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2000			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXare_2001			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2002			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2003			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2004			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXare_2005			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2006			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXare_2007			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_2008			0.00**	0.00**		
			[0.000]	[0.000]		
_IyeaXare_2009			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_2010			0.00*	0.00*		
			[0.000]	[0.000]		
_IyeaXare_2011			0.00*	0.00*		
			[0.000]	[0.000]		
o.urbrate1962			-	-		
						
_IyeaXurb_1964			-0.02*	-0.02*		
			[0.009]	[0.009]		
_IyeaXurb_1965			-0.00	-0.00		
			[0.008]	[0.008]		
_IyeaXurb_1966			-0.00	-0.00		
			[0.008]	[0.008]		
_IyeaXurb_1967			0.00	0.00		
			[0.010]	[0.010]		
_IyeaXurb_1968			0.02	0.02		
			[0.027]	[0.027]		
_IyeaXurb_1969			0.02	0.02		
			[0.024]	[0.024]		
_IyeaXurb_1970			0.02*	0.01		
			[0.009]	[0.012]		
_IyeaXurb_1971			0.01	0.01		
			[0.012]	[0.015]		
_IyeaXurb_1972			0.01	-0.00		
			[0.013]	[0.016]		
_IyeaXurb_1973			-0.01	-0.02		
			[0.008]	[0.012]		
_IyeaXurb_1974			0.03	0.02		
			[0.042]	[0.038]		
_IyeaXurb_1975			-0.01	-0.01		
			[0.009]	[0.012]		
_IyeaXurb_1976			0.01	0.00		
			[0.019]	[0.015]		
_IyeaXurb_1977			0.03	0.02		
			[0.028]	[0.024]		
_IyeaXurb_1978			0.06	0.05		
			[0.047]	[0.042]		
_IyeaXurb_1979			0.06	0.06		
			[0.066]	[0.065]		
_IyeaXurb_1980			0.05	0.05		
			[0.053]	[0.052]		
_IyeaXurb_1981			0.06	0.06		
			[0.054]	[0.053]		
_IyeaXurb_1982			0.01	0.01		
			[0.019]	[0.018]		
_IyeaXurb_1983			0.02	0.03		
			[0.025]	[0.024]		
_IyeaXurb_1984			0.01	0.01		
			[0.017]	[0.017]		
_IyeaXurb_1985			0.02	0.02		
			[0.023]	[0.022]		
_IyeaXurb_1986			0.01	0.02		
			[0.024]	[0.023]		
_IyeaXurb_1987			0.00	0.01		
			[0.026]	[0.025]		
_IyeaXurb_1988			0.02	0.02		
			[0.020]	[0.020]		
_IyeaXurb_1989			0.02	0.03		
			[0.023]	[0.024]		
_IyeaXurb_1990			0.03	0.03		
			[0.026]	[0.028]		
_IyeaXurb_1991			0.01	0.02		
			[0.027]	[0.029]		
_IyeaXurb_1992			0.01	0.01		
			[0.019]	[0.020]		
_IyeaXurb_1993			0.02	0.01		
			[0.025]	[0.023]		
_IyeaXurb_1994			0.01	0.00		
			[0.021]	[0.022]		
_IyeaXurb_1995			0.02	0.01		
			[0.030]	[0.030]		
_IyeaXurb_1996			0.02	0.01		
			[0.024]	[0.024]		
_IyeaXurb_1997			0.03	0.02		
			[0.020]	[0.020]		
_IyeaXurb_1998			0.02	0.00		
			[0.023]	[0.022]		
_IyeaXurb_1999			0.03	0.02		
			[0.036]	[0.035]		
_IyeaXurb_2000			0.09	0.08		
			[0.143]	[0.141]		
_IyeaXurb_2001			0.02	0.00		
			[0.036]	[0.035]		
_IyeaXurb_2002			0.07	0.06		
			[0.068]	[0.065]		
_IyeaXurb_2003			0.07	0.07		
			[0.072]	[0.072]		
_IyeaXurb_2004			0.07	0.07		
			[0.116]	[0.116]		
_IyeaXurb_2005			0.06	0.06		
			[0.064]	[0.064]		
_IyeaXurb_2006			0.03	0.03		
			[0.028]	[0.028]		
_IyeaXurb_2007			0.06	0.06		
			[0.044]	[0.044]		
_IyeaXurb_2008			0.03	0.03		
			[0.022]	[0.022]		
_IyeaXurb_2009			0.01	0.01		
			[0.016]	[0.016]		
_IyeaXurb_2010			-0.00	-0.00		
			[0.012]	[0.012]		
_IyeaXurb_2011			0.02	0.02		
			[0.018]	[0.018]		
o.earnings			-	-		
						
_IyeaXear_1964			0.06	0.06		
			[0.041]	[0.041]		
_IyeaXear_1965			0.08*	0.08*		
			[0.044]	[0.044]		
_IyeaXear_1966			0.04	0.04		
			[0.046]	[0.046]		
_IyeaXear_1967			0.03	0.03		
			[0.054]	[0.054]		
_IyeaXear_1968			-0.03	-0.03		
			[0.100]	[0.100]		
_IyeaXear_1969			-0.03	-0.03		
			[0.118]	[0.118]		
_IyeaXear_1970			0.00	0.09		
			[0.062]	[0.100]		
_IyeaXear_1971			-0.04	0.05		
			[0.055]	[0.090]		
_IyeaXear_1972			-0.08	0.02		
			[0.079]	[0.101]		
_IyeaXear_1973			-0.11	-0.02		
			[0.069]	[0.098]		
_IyeaXear_1974			0.03	0.13		
			[0.115]	[0.133]		
_IyeaXear_1975			-0.00	0.09		
			[0.046]	[0.080]		
_IyeaXear_1976			0.01	0.11		
			[0.063]	[0.082]		
_IyeaXear_1977			-0.01	0.09		
			[0.074]	[0.089]		
_IyeaXear_1978			-0.08	0.01		
			[0.079]	[0.087]		
_IyeaXear_1979			-0.06	-0.02		
			[0.132]	[0.132]		
_IyeaXear_1980			-0.07	-0.04		
			[0.126]	[0.127]		
_IyeaXear_1981			-0.01	0.02		
			[0.139]	[0.141]		
_IyeaXear_1982			-0.11	-0.07		
			[0.120]	[0.125]		
_IyeaXear_1983			-0.15	-0.11		
			[0.140]	[0.142]		
_IyeaXear_1984			-0.14	-0.11		
			[0.106]	[0.110]		
_IyeaXear_1985			-0.14	-0.11		
			[0.125]	[0.126]		
_IyeaXear_1986			-0.14	-0.11		
			[0.106]	[0.106]		
_IyeaXear_1987			-0.09	-0.05		
			[0.104]	[0.103]		
_IyeaXear_1988			-0.13	-0.10		
			[0.092]	[0.091]		
_IyeaXear_1989			-0.09	-0.05		
			[0.102]	[0.102]		
_IyeaXear_1990			-0.17	-0.13		
			[0.117]	[0.121]		
_IyeaXear_1991			-0.20	-0.16		
			[0.139]	[0.146]		
_IyeaXear_1992			-0.09	-0.06		
			[0.099]	[0.104]		
_IyeaXear_1993			-0.14	-0.08		
			[0.103]	[0.110]		
_IyeaXear_1994			-0.06	-0.01		
			[0.123]	[0.130]		
_IyeaXear_1995			-0.12	-0.07		
			[0.128]	[0.132]		
_IyeaXear_1996			-0.09	-0.04		
			[0.120]	[0.130]		
_IyeaXear_1997			-0.10	-0.04		
			[0.092]	[0.094]		
_IyeaXear_1998			-0.23*	-0.17		
			[0.121]	[0.136]		
_IyeaXear_1999			-0.10	-0.04		
			[0.132]	[0.146]		
_IyeaXear_2000			0.17	0.23		
			[0.269]	[0.277]		
_IyeaXear_2001			-0.03	0.02		
			[0.149]	[0.164]		
_IyeaXear_2002			0.03	0.09		
			[0.142]	[0.156]		
_IyeaXear_2003			0.17	0.17		
			[0.172]	[0.172]		
_IyeaXear_2004			0.10	0.10		
			[0.220]	[0.220]		
_IyeaXear_2005			-0.07	-0.07		
			[0.146]	[0.146]		
_IyeaXear_2006			-0.10	-0.10		
			[0.155]	[0.155]		
_IyeaXear_2007			-0.17	-0.17		
			[0.187]	[0.187]		
_IyeaXear_2008			0.00	0.00		
			[0.057]	[0.057]		
_IyeaXear_2009			0.03	0.03		
			[0.052]	[0.052]		
_IyeaXear_2010			0.06	0.06		
			[0.038]	[0.038]		
_IyeaXear_2011			0.02	0.02		
			[0.053]	[0.053]		
o.wage_employment			-	-		
						
_IyeaXwag_1964			-0.02	-0.02		
			[0.012]	[0.012]		
_IyeaXwag_1965			-0.03**	-0.03**		
			[0.012]	[0.012]		
_IyeaXwag_1966			-0.02	-0.02		
			[0.013]	[0.013]		
_IyeaXwag_1967			-0.01	-0.01		
			[0.015]	[0.015]		
_IyeaXwag_1968			-0.01	-0.01		
			[0.028]	[0.028]		
_IyeaXwag_1969			-0.00	-0.00		
			[0.033]	[0.033]		
_IyeaXwag_1970			-0.01	-0.03		
			[0.018]	[0.027]		
_IyeaXwag_1971			0.01	-0.02		
			[0.016]	[0.024]		
_IyeaXwag_1972			0.02	-0.01		
			[0.022]	[0.027]		
_IyeaXwag_1973			0.03	0.01		
			[0.020]	[0.026]		
_IyeaXwag_1974			-0.02	-0.04		
			[0.032]	[0.036]		
_IyeaXwag_1975			0.00	-0.02		
			[0.012]	[0.020]		
_IyeaXwag_1976			-0.01	-0.03		
			[0.018]	[0.021]		
_IyeaXwag_1977			-0.00	-0.03		
			[0.022]	[0.024]		
_IyeaXwag_1978			0.01	-0.01		
			[0.022]	[0.023]		
_IyeaXwag_1979			0.00	-0.01		
			[0.037]	[0.036]		
_IyeaXwag_1980			0.00	-0.01		
			[0.034]	[0.034]		
_IyeaXwag_1981			-0.01	-0.02		
			[0.038]	[0.038]		
_IyeaXwag_1982			0.02	0.01		
			[0.032]	[0.033]		
_IyeaXwag_1983			0.03	0.02		
			[0.038]	[0.038]		
_IyeaXwag_1984			0.04	0.03		
			[0.028]	[0.029]		
_IyeaXwag_1985			0.03	0.02		
			[0.034]	[0.034]		
_IyeaXwag_1986			0.03	0.02		
			[0.029]	[0.029]		
_IyeaXwag_1987			0.02	0.01		
			[0.029]	[0.028]		
_IyeaXwag_1988			0.03	0.02		
			[0.025]	[0.025]		
_IyeaXwag_1989			0.01	0.00		
			[0.029]	[0.029]		
_IyeaXwag_1990			0.03	0.02		
			[0.031]	[0.033]		
_IyeaXwag_1991			0.04	0.03		
			[0.038]	[0.040]		
_IyeaXwag_1992			0.02	0.01		
			[0.027]	[0.029]		
_IyeaXwag_1993			0.03	0.01		
			[0.028]	[0.029]		
_IyeaXwag_1994			0.01	-0.00		
			[0.034]	[0.034]		
_IyeaXwag_1995			0.03	0.01		
			[0.034]	[0.034]		
_IyeaXwag_1996			0.02	0.00		
			[0.032]	[0.034]		
_IyeaXwag_1997			0.02	0.00		
			[0.024]	[0.024]		
_IyeaXwag_1998			0.05	0.04		
			[0.032]	[0.035]		
_IyeaXwag_1999			0.01	-0.00		
			[0.036]	[0.040]		
_IyeaXwag_2000			-0.08	-0.09		
			[0.083]	[0.085]		
_IyeaXwag_2001			-0.01	-0.02		
			[0.043]	[0.047]		
_IyeaXwag_2002			-0.03	-0.05		
			[0.044]	[0.048]		
_IyeaXwag_2003			-0.07	-0.07		
			[0.055]	[0.055]		
_IyeaXwag_2004			-0.05	-0.05		
			[0.071]	[0.071]		
_IyeaXwag_2005			-0.01	-0.01		
			[0.040]	[0.040]		
_IyeaXwag_2006			0.02	0.02		
			[0.042]	[0.042]		
_IyeaXwag_2007			0.02	0.02		
			[0.049]	[0.049]		
_IyeaXwag_2008			-0.01	-0.01		
			[0.015]	[0.015]		
_IyeaXwag_2009			-0.01	-0.01		
			[0.014]	[0.014]		
_IyeaXwag_2010			-0.02	-0.02		
			[0.011]	[0.011]		
_IyeaXwag_2011			-0.01	-0.01		
			[0.015]	[0.015]		
o.value_cashcrops			-	-		
						
_IyeaXval_1964			0.00	0.00		
			[0.007]	[0.007]		
_IyeaXval_1965			0.01	0.01		
			[0.007]	[0.007]		
_IyeaXval_1966			0.00	0.00		
			[0.007]	[0.007]		
_IyeaXval_1967			0.00	0.00		
			[0.012]	[0.012]		
_IyeaXval_1968			-0.01	-0.01		
			[0.018]	[0.018]		
_IyeaXval_1969			-0.01	-0.01		
			[0.018]	[0.018]		
_IyeaXval_1970			0.01	0.01		
			[0.012]	[0.012]		
_IyeaXval_1971			-0.00	0.00		
			[0.009]	[0.010]		
_IyeaXval_1972			-0.01	-0.01		
			[0.011]	[0.010]		
_IyeaXval_1973			-0.01	-0.01		
			[0.009]	[0.009]		
_IyeaXval_1974			0.01	0.01		
			[0.018]	[0.017]		
_IyeaXval_1975			0.01	0.01		
			[0.014]	[0.013]		
_IyeaXval_1976			0.00	0.00		
			[0.013]	[0.012]		
_IyeaXval_1977			0.01	0.01		
			[0.014]	[0.013]		
_IyeaXval_1978			0.01	0.02		
			[0.011]	[0.011]		
_IyeaXval_1979			0.01	0.00		
			[0.024]	[0.025]		
_IyeaXval_1980			0.01	0.00		
			[0.026]	[0.027]		
_IyeaXval_1981			0.03	0.02		
			[0.026]	[0.027]		
_IyeaXval_1982			0.00	-0.00		
			[0.023]	[0.024]		
_IyeaXval_1983			0.01	0.00		
			[0.020]	[0.021]		
_IyeaXval_1984			0.01	0.00		
			[0.021]	[0.022]		
_IyeaXval_1985			-0.00	-0.01		
			[0.019]	[0.021]		
_IyeaXval_1986			-0.01	-0.01		
			[0.020]	[0.022]		
_IyeaXval_1987			-0.01	-0.01		
			[0.016]	[0.018]		
_IyeaXval_1988			-0.01	-0.01		
			[0.015]	[0.017]		
_IyeaXval_1989			-0.02	-0.02		
			[0.016]	[0.018]		
_IyeaXval_1990			-0.02	-0.03		
			[0.022]	[0.023]		
_IyeaXval_1991			-0.03	-0.03		
			[0.027]	[0.028]		
_IyeaXval_1992			-0.01	-0.01		
			[0.016]	[0.018]		
_IyeaXval_1993			-0.01	-0.01		
			[0.016]	[0.017]		
_IyeaXval_1994			-0.01	-0.00		
			[0.018]	[0.019]		
_IyeaXval_1995			-0.02	-0.02		
			[0.025]	[0.024]		
_IyeaXval_1996			-0.02	-0.01		
			[0.022]	[0.022]		
_IyeaXval_1997			-0.01	-0.01		
			[0.013]	[0.011]		
_IyeaXval_1998			-0.03	-0.03		
			[0.022]	[0.023]		
_IyeaXval_1999			-0.01	-0.00		
			[0.031]	[0.030]		
_IyeaXval_2000			0.07	0.07		
			[0.071]	[0.069]		
_IyeaXval_2001			0.00	0.01		
			[0.038]	[0.037]		
_IyeaXval_2002			0.01	0.02		
			[0.033]	[0.031]		
_IyeaXval_2003			0.02	0.02		
			[0.033]	[0.033]		
_IyeaXval_2004			0.03	0.03		
			[0.050]	[0.050]		
_IyeaXval_2005			-0.02	-0.02		
			[0.028]	[0.028]		
_IyeaXval_2006			0.00	0.00		
			[0.020]	[0.020]		
_IyeaXval_2007			-0.03	-0.03		
			[0.029]	[0.029]		
_IyeaXval_2008			-0.01	-0.01		
			[0.014]	[0.014]		
_IyeaXval_2009			0.01	0.01		
			[0.012]	[0.012]		
_IyeaXval_2010			0.02***	0.02***		
			[0.007]	[0.007]		
_IyeaXval_2011			0.00	0.00		
			[0.010]	[0.010]		
o._IMomKam_1			-	-		
						
_Iyear_1964	-0.05	-0.05	-0.56	-0.56	-0.04	-0.05
	[0.143]	[0.143]	[0.382]	[0.383]	[0.144]	[0.144]
_Iyear_1965	-0.02	-0.02	-0.19	-0.19	-0.01	-0.02
	[0.173]	[0.173]	[0.439]	[0.439]	[0.176]	[0.176]
_Iyear_1966	0.02	0.02	-0.53	-0.53	0.03	0.02
	[0.185]	[0.185]	[0.518]	[0.518]	[0.189]	[0.188]
_Iyear_1967	0.11	0.11	0.51	0.51	0.13	0.12
	[0.238]	[0.238]	[0.689]	[0.689]	[0.243]	[0.242]
_Iyear_1968	0.68	0.68	1.83	1.83	0.71	0.69
	[0.568]	[0.568]	[1.988]	[1.988]	[0.571]	[0.571]
_Iyear_1969	0.63	0.63	1.19	1.19	0.66	0.64
	[0.563]	[0.563]	[1.906]	[1.907]	[0.566]	[0.566]
_Iyear_1970	0.22	-0.03	0.64	-3.00**	0.25	-0.02
	[0.209]	[0.461]	[0.642]	[1.413]	[0.211]	[0.467]
_Iyear_1971	0.35	0.11	0.50	-3.14*	0.39	0.12
	[0.336]	[0.552]	[0.876]	[1.588]	[0.341]	[0.560]
_Iyear_1972	0.33	0.09	0.78	-2.86*	0.37	0.10
	[0.312]	[0.528]	[0.802]	[1.579]	[0.315]	[0.536]
_Iyear_1973	0.32	0.07	1.04	-2.60*	0.36	0.09
	[0.233]	[0.461]	[0.708]	[1.452]	[0.229]	[0.466]
_Iyear_1974	0.22	-0.02	1.67	-1.97	0.28	-0.00
	[0.305]	[0.492]	[1.537]	[1.848]	[0.296]	[0.489]
_Iyear_1975	-0.03	-0.27	0.85*	-2.78**	0.03	-0.25
	[0.140]	[0.378]	[0.438]	[1.264]	[0.150]	[0.393]
_Iyear_1976	-0.01	-0.25	1.70*	-1.94	0.05	-0.24
	[0.217]	[0.375]	[0.881]	[1.470]	[0.222]	[0.389]
_Iyear_1977	0.14	-0.10	2.70*	-0.94	0.21	-0.08
	[0.288]	[0.432]	[1.395]	[1.791]	[0.296]	[0.444]
_Iyear_1978	0.23	-0.01	1.09	-2.55	0.30	0.01
	[0.375]	[0.462]	[1.788]	[2.103]	[0.382]	[0.477]
_Iyear_1979	0.55	0.33	4.37*	1.01	0.50	0.32
	[0.551]	[0.638]	[2.272]	[2.413]	[0.537]	[0.626]
_Iyear_1980	0.30	0.07	3.04	-0.31	0.25	0.06
	[0.433]	[0.520]	[1.936]	[2.070]	[0.424]	[0.509]
_Iyear_1981	0.29	0.07	2.33	-1.03	0.25	0.06
	[0.434]	[0.548]	[1.735]	[1.935]	[0.426]	[0.540]
_Iyear_1982	0.11	-0.12	1.74*	-1.62	0.07	-0.12
	[0.313]	[0.401]	[1.013]	[1.243]	[0.305]	[0.392]
_Iyear_1983	-0.00	-0.23	0.47	-2.88*	-0.04	-0.23
	[0.316]	[0.431]	[1.224]	[1.669]	[0.318]	[0.427]
_Iyear_1984	-0.06	-0.29	1.31*	-2.04	-0.10	-0.30
	[0.249]	[0.399]	[0.773]	[1.323]	[0.253]	[0.396]
_Iyear_1985	0.10	-0.13	1.32	-2.04	0.07	-0.13
	[0.319]	[0.308]	[1.145]	[1.261]	[0.324]	[0.306]
_Iyear_1986	0.09	-0.14	1.53	-1.82	0.06	-0.14
	[0.312]	[0.359]	[1.358]	[1.649]	[0.315]	[0.357]
_Iyear_1987	0.15	-0.07	1.75	-1.61	0.13	-0.08
	[0.430]	[0.415]	[1.770]	[1.848]	[0.431]	[0.413]
_Iyear_1988	0.13	-0.10	1.56	-1.79	0.11	-0.10
	[0.340]	[0.345]	[1.469]	[1.680]	[0.345]	[0.344]
_Iyear_1989	0.47	0.25	3.33*	-0.03	0.45	0.24
	[0.552]	[0.305]	[1.842]	[1.155]	[0.555]	[0.304]
_Iyear_1990	0.36	0.13	3.97**	0.61	0.34	0.13
	[0.423]	[0.230]	[1.474]	[0.950]	[0.427]	[0.231]
_Iyear_1991	0.50	0.28	4.39**	1.04	0.49	0.27
	[0.595]	[0.252]	[1.945]	[0.831]	[0.600]	[0.253]
_Iyear_1992	0.23		3.36**		0.22	
	[0.408]		[1.398]		[0.410]	
_Iyear_1993	0.13	0.11	2.84**	2.57*	0.12	0.11
	[0.367]	[0.373]	[1.319]	[1.448]	[0.370]	[0.374]
_Iyear_1994	0.08	0.06	2.47**	2.20	0.08	0.06
	[0.322]	[0.335]	[1.148]	[1.315]	[0.325]	[0.335]
_Iyear_1995	-0.06	-0.07	2.20*	1.93	-0.06	-0.07
	[0.336]	[0.347]	[1.125]	[1.273]	[0.338]	[0.347]
_Iyear_1996	-0.04	-0.05	2.45**	2.18	-0.04	-0.05
	[0.344]	[0.357]	[1.176]	[1.352]	[0.345]	[0.356]
_Iyear_1997	-0.06	-0.08	2.39**	2.13**	-0.05	-0.07
	[0.264]	[0.259]	[0.935]	[1.011]	[0.260]	[0.260]
_Iyear_1998	0.26	0.24	3.55**	3.28*	0.27	0.24
	[0.459]	[0.471]	[1.579]	[1.779]	[0.458]	[0.468]
_Iyear_1999	0.22	0.20	2.70	2.43	0.23	0.21
	[0.713]	[0.718]	[1.773]	[1.868]	[0.714]	[0.717]
_Iyear_2000	1.12	1.11	4.14	3.87	1.14	1.11
	[1.300]	[1.300]	[2.858]	[2.875]	[1.304]	[1.304]
_Iyear_2001	0.20	0.18	2.30	2.03	0.22	0.19
	[0.887]	[0.890]	[1.765]	[1.824]	[0.888]	[0.890]
_Iyear_2002	0.18	0.16	3.34**	3.07*	0.20	0.17
	[0.518]	[0.522]	[1.504]	[1.584]	[0.523]	[0.525]
_Iyear_2003	-0.13	-0.13	2.39	2.39	-0.17	-0.14
	[0.541]	[0.541]	[1.900]	[1.900]	[0.539]	[0.539]
_Iyear_2004	0.58	0.58	4.37	4.37	0.54	0.57
	[0.884]	[0.884]	[3.035]	[3.036]	[0.881]	[0.882]
_Iyear_2005	0.13	0.13	3.93*	3.93*	0.11	0.13
	[0.497]	[0.497]	[2.110]	[2.111]	[0.499]	[0.500]
_Iyear_2006	-0.41	-0.41	1.81	1.81	-0.44	-0.42
	[0.415]	[0.415]	[1.279]	[1.280]	[0.421]	[0.420]
_Iyear_2007	-0.25	-0.25	2.96	2.96	-0.27	-0.26
	[0.536]	[0.536]	[2.243]	[2.244]	[0.538]	[0.538]
_Iyear_2008	-0.07	-0.07	2.80*	2.80*	-0.08	-0.07
	[0.314]	[0.314]	[1.424]	[1.424]	[0.315]	[0.314]
_Iyear_2009	-0.45*	-0.45*	2.10***	2.10***	-0.46*	-0.45*
	[0.232]	[0.232]	[0.647]	[0.647]	[0.235]	[0.234]
_Iyear_2010	-0.42**	-0.42**	1.62**	1.62**	-0.43**	-0.42**
	[0.192]	[0.192]	[0.638]	[0.638]	[0.194]	[0.194]
_Iyear_2011			2.34**	2.34**		
			[1.005]	[1.006]		
