Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
	[29.428]	[18.593]	[36.523]	[22.115]	[53.801]	[32.385]
_Iyear_1978	32.57	21.15	-0.93	0.35	-34.01	-20.33
	[28.153]	[17.283]	[34.112]	[19.717]	[51.642]	[30.226]
_Iyear_1979	30.90	19.49	-0.19	1.10	-31.36	-17.69
	[27.004]	[16.180]	[33.836]	[19.493]	[49.533]	[28.126]
_Iyear_1980	26.86	15.45	-1.03	0.25	-27.54	-13.86
	[25.572]	[14.593]	[32.175]	[17.782]	[47.584]	[26.316]
_Iyear_1981	26.27	14.87	-0.58	0.70	-29.73	-16.06
	[24.412]	[13.452]	[30.694]	[16.321]	[45.181]	[23.763]
_Iyear_1982	25.03	13.62	-0.80	0.48	-23.49	-9.82
	[23.191]	[12.223]	[29.316]	[14.923]	[43.342]	[22.155]
_Iyear_1983	23.85	12.45	-1.32	-0.04	-24.29	-10.62
	[21.973]	[11.011]	[27.780]	[13.380]	[41.016]	[19.716]
_Iyear_1984	22.21	10.80	-1.04	0.25	-21.97	-8.30
	[20.754]	[9.775]	[26.294]	[11.909]	[38.964]	[17.790]
_Iyear_1985	22.57	11.16	-0.75	0.53	-22.58	-8.91
	[19.640]	[8.845]	[24.807]	[10.455]	[36.638]	[15.315]
_Iyear_1986	21.06	9.65	-1.05	0.23	-22.24	-8.56
	[18.457]	[7.752]	[23.433]	[9.069]	[34.480]	[13.107]
_Iyear_1987	18.17	6.77	-0.59	0.69	-21.53	-7.86
	[17.100]	[6.126]	[21.766]	[7.435]	[32.352]	[10.973]
_Iyear_1988	17.07	5.66	-1.51	-0.23	-19.59	-5.92
	[15.885]	[4.945]	[19.948]	[5.570]	[30.091]	[8.716]
_Iyear_1989	15.83	4.43	2.92	4.20	-16.89	-3.22
	[14.666]	[3.788]	[19.227]	[5.770]	[28.027]	[6.907]
_Iyear_1990	14.99	3.59	1.08	2.36	-13.08	0.59
	[13.491]	[2.821]	[17.582]	[3.975]	[26.313]	[6.737]
_Iyear_1991	13.04	1.64	-0.65	0.63	-14.90	-1.22
	[12.232]	[1.407]	[15.975]	[2.016]	[23.664]	[2.490]
o._Iyear_1992		-		-		-
						
_Iyear_1993	10.32	10.32	-0.17	-0.17	-12.34	-12.34
	[9.818]	[9.821]	[13.111]	[13.115]	[19.353]	[19.359]
_Iyear_1994	9.30	9.30	1.94	1.94	-10.91	-10.91
	[8.596]	[8.599]	[11.961]	[11.965]	[17.204]	[17.210]
_Iyear_1995	9.26	9.26	3.56	3.56	-9.47	-9.47
	[7.643]	[7.646]	[11.615]	[11.619]	[15.057]	[15.061]
_Iyear_1996	7.53	7.53	2.68	2.68	-8.04	-8.04
	[6.267]	[6.269]	[9.437]	[9.440]	[12.912]	[12.916]
_Iyear_1997	7.53	7.53	-1.10	-1.10	-6.00	-6.00
	[5.766]	[5.768]	[7.143]	[7.145]	[9.305]	[9.308]
_Iyear_1998	7.80	7.80	-0.49	-0.49	-6.13	-6.13
	[5.895]	[5.897]	[5.851]	[5.853]	[8.516]	[8.519]
_Iyear_1999	6.92	6.92	0.12	0.12	-2.48	-2.48
	[5.616]	[5.618]	[4.603]	[4.604]	[6.903]	[6.905]
_Iyear_2000	3.39	3.39	-0.20	-0.20	-0.66	-0.66
	[2.456]	[2.457]	[2.525]	[2.526]	[2.022]	[2.022]
o._Iyear_2001	-	-	-	-	-	-
						
o._Iyear_2002	-	-	-	-	-	-
						
o._Iyear_2003	-	-	-	-	-	-
						
o._Iyear_2004	-	-	-	-	-	-
						
o._Iyear_2005	-	-	-	-	-	-
						
o._Iyear_2006	-	-	-	-	-	-
						
o._Iyear_2007	-	-	-	-	-	-
						
o._Iyear_2008	-	-	-	-	-	-
						
o._Iyear_2009	-	-	-	-	-	-
						
o._Iyear_2010	-	-	-	-	-	-
						
o._Iyear_2011	-	-	-	-	-	-
						
						
_Iyear_1992	11.41		-1.28		-13.67	
	[11.018]		[14.482]		[21.488]	
						
Observations	1,599	1,599	1,599	1,599	1,599	1,599
Adjusted R-squared	0.020	0.019	0.034	0.033	0.031	0.030
Robust standard errors clustered at the district level in parentheses						
* significant at 10%; ** significant at 5%; *** significant at 1%						
